"","date","UNH"
"482",2021-05-06,0.4393
"483",2021-05-07,0.4037
"484",2021-05-10,0.4305
"485",2021-05-11,0.4059
"486",2021-05-12,0.4233
"487",2021-05-13,0.3908
"488",2021-05-14,0.3835
"489",2021-05-17,0.3539
"490",2021-05-18,0.3827
"491",2021-05-19,0.3915
"492",2021-05-20,0.4558
"493",2021-05-21,0.3845
"494",2021-05-24,0.3883
"495",2021-05-25,0.3615
"496",2021-05-26,0.391
"497",2021-05-27,0.3854
"498",2021-05-28,0.3921
"499",2021-06-01,0.3211
"500",2021-06-02,0.2906
"501",2021-06-03,0.2988
"502",2021-06-04,0.3299
"503",2021-06-07,0.3041
"504",2021-06-08,0.3376
"505",2021-06-09,0.3187
"506",2021-06-10,0.363
"507",2021-06-11,0.3496
"508",2021-06-14,0.3646
"509",2021-06-15,0.3208
"510",2021-06-16,0.3409
"511",2021-06-17,0.3182
"512",2021-06-18,0.3224
"513",2021-06-21,0.2894
"514",2021-06-22,0.322
"515",2021-06-23,0.3096
"516",2021-06-24,0.3568
"517",2021-06-25,0.3346
"518",2021-06-28,0.3425
"519",2021-06-29,0.3006
"520",2021-06-30,0.3167
"521",2021-07-01,0.3171
"522",2021-07-02,0.327
"523",2021-07-06,0.2713
"524",2021-07-07,0.299
"525",2021-07-08,0.2846
"526",2021-07-09,0.3044
"527",2021-07-12,0.2936
"528",2021-07-13,0.3203
"529",2021-07-14,0.2797
"530",2021-07-15,0.2898
"531",2021-07-16,0.2866
"532",2021-07-19,0.3203
"533",2021-07-20,0.3174
"534",2021-07-21,0.3478
"535",2021-07-22,0.3402
"536",2021-07-23,0.3891
"537",2021-07-26,0.4156
"538",2021-07-27,0.4646
"539",2021-07-28,0.4502
"540",2021-07-29,0.4507
"541",2021-07-30,0.4653
"542",2021-08-02,0.4556
"543",2021-08-03,0.4217
"544",2021-08-04,0.4518
"545",2021-08-05,0.4668
"546",2021-08-06,0.5453
"547",2021-08-09,0.5391
"548",2021-08-10,0.5784
"549",2021-08-11,0.5891
"550",2021-08-12,0.6144
"551",2021-08-13,0.5841
"552",2021-08-16,0.5559
"553",2021-08-17,0.4129
"554",2021-08-18,0.4123
"555",2021-08-19,0.3298
"556",2021-08-20,0.3512
"557",2021-08-23,0.374
"558",2021-08-24,0.4348
"559",2021-08-25,0.3757
"560",2021-08-26,0.3722
"561",2021-08-27,0.3862
"562",2021-08-30,0.3283
"563",2021-08-31,0.3421
"564",2021-09-01,0.3622
"565",2021-09-02,0.3448
"566",2021-09-03,0.3682
"567",2021-09-07,0.4064
"568",2021-09-08,0.4086
"569",2021-09-09,0.3862
"570",2021-09-10,0.3561
"571",2021-09-13,0.3383
"572",2021-09-14,0.3201
"573",2021-09-15,0.2729
"574",2021-09-16,0.2998
"575",2021-09-17,0.2917
"576",2021-09-20,0.2909
"577",2021-09-21,0.2995
"578",2021-09-22,0.2992
"579",2021-09-23,0.2553
"580",2021-09-24,0.2475
"581",2021-09-27,0.2755
"582",2021-09-28,0.297
"583",2021-09-29,0.2634
"584",2021-09-30,0.2467
"585",2021-10-01,0.2896
"586",2021-10-04,0.2928
"587",2021-10-05,0.3126
"588",2021-10-06,0.3011
"589",2021-10-07,0.2558
"590",2021-10-08,0.2399
"591",2021-10-11,0.2644
"592",2021-10-12,0.2989
"593",2021-10-13,0.2986
"594",2021-10-14,0.3024
"595",2021-10-15,0.2507
"596",2021-10-18,0.2635
"597",2021-10-19,0.3151
"598",2021-10-20,0.3506
"599",2021-10-21,0.3038
"600",2021-10-22,0.3078
"601",2021-10-25,0.2948
"602",2021-10-26,0.2993
"603",2021-10-27,0.2877
"604",2021-10-28,0.2893
"605",2021-10-29,0.319
"606",2021-11-01,0.3231
"607",2021-11-02,0.3182
"608",2021-11-03,0.3151
"609",2021-11-04,0.3079
"610",2021-11-05,0.3107
"611",2021-11-08,0.2969
"612",2021-11-09,0.2723
"613",2021-11-10,0.2668
"614",2021-11-11,0.2918
"615",2021-11-12,0.3168
"616",2021-11-15,0.3255
"617",2021-11-16,0.3234
"618",2021-11-17,0.3434
"619",2021-11-18,0.297
"620",2021-11-19,0.2834
"621",2021-11-22,0.2941
"622",2021-11-23,0.2998
"623",2021-11-24,0.304
"624",2021-11-26,0.3134
"625",2021-11-29,0.2785
"626",2021-11-30,0.2814
"627",2021-12-01,0.3176
"628",2021-12-02,0.335
"629",2021-12-03,0.3411
"630",2021-12-06,0.343
"631",2021-12-07,0.3046
"632",2021-12-08,0.2836
"633",2021-12-09,0.3151
"634",2021-12-10,0.3303
"635",2021-12-13,0.3175
"636",2021-12-14,0.3302
"637",2021-12-15,0.3662
"638",2021-12-16,0.349
"639",2021-12-17,0.3004
"640",2021-12-20,0.3084
"641",2021-12-21,0.3198
"642",2021-12-22,0.3388
"643",2021-12-23,0.3042
"644",2021-12-27,0.2976
"645",2021-12-28,0.2917
"646",2021-12-29,0.3068
