"","date","GOOG"
"231",2023-03-17,0.2215
"232",2023-03-20,0.2237
"233",2023-03-21,0.2175
"234",2023-03-22,0.2183
"235",2023-03-23,0.2225
"236",2023-03-24,0.2222
"237",2023-03-27,0.2237
"238",2023-03-28,0.2222
"239",2023-03-29,0.232
"240",2023-03-30,0.2415
"241",2023-03-31,0.2421
"242",2023-04-03,0.2338
"243",2023-04-04,0.2233
"244",2023-04-05,0.2237
"245",2023-04-06,0.2283
"246",2023-04-10,0.23
"247",2023-04-11,0.2302
"248",2023-04-12,0.2323
"249",2023-04-13,0.2356
"250",2023-04-14,0.2321
"251",2023-04-17,0.2355
"252",2023-04-18,0.2393
"253",2023-04-19,0.2301
"254",2023-04-20,0.2321
"255",2023-04-21,0.23
"256",2023-04-24,0.2254
"257",2023-04-25,0.2299
"258",2023-04-26,0.2253
"259",2023-04-27,0.2268
"260",2023-04-28,0.2328
"261",2023-05-01,0.2375
"262",2023-05-02,0.2395
"263",2023-05-03,0.2381
"264",2023-05-04,0.2343
"265",2023-05-05,0.2394
"266",2023-05-08,0.243
"267",2023-05-09,0.2408
"268",2023-05-10,0.237
"269",2023-05-11,0.2371
"270",2023-05-12,0.2369
"271",2023-05-15,0.2376
"272",2023-05-16,0.2343
"273",2023-05-17,0.2337
"274",2023-05-18,0.2422
"275",2023-05-19,0.2481
"276",2023-05-22,0.2563
"277",2023-05-23,0.2497
"278",2023-05-24,0.2455
"279",2023-05-25,0.2468
"280",2023-05-26,0.2441
"281",2023-05-30,0.2441
"282",2023-05-31,0.246
"283",2023-06-01,0.24
"284",2023-06-02,0.2428
"285",2023-06-05,0.2471
"286",2023-06-06,0.2477
"287",2023-06-07,0.2516
"288",2023-06-08,0.2517
"289",2023-06-09,0.2494
"290",2023-06-12,0.2512
"291",2023-06-13,0.253
"292",2023-06-14,0.2507
"293",2023-06-15,0.2507
"294",2023-06-16,0.2481
"295",2023-06-20,0.2518
"296",2023-06-21,0.255
"297",2023-06-22,0.2506
"298",2023-06-23,0.2418
"299",2023-06-26,0.2459
"300",2023-06-27,0.2521
"301",2023-06-28,0.2522
"302",2023-06-29,0.2555
