"","date","INTU"
"411",2021-01-25,0.1488
"412",2021-01-26,0.1392
"413",2021-01-27,0.1203
"414",2021-01-28,0.1343
"415",2021-01-29,0.1006
"416",2021-02-01,0.105
"417",2021-02-02,0.1164
"418",2021-02-03,0.1044
"419",2021-02-04,0.0842000000000001
"420",2021-02-05,0.0978
"421",2021-02-08,0.0848
"422",2021-02-09,0.086
"423",2021-02-10,0.0653
"424",2021-02-11,0.0751
"425",2021-02-12,0.0632
"426",2021-02-16,0.0685
"427",2021-02-17,0.0483
"428",2021-02-18,0.0651
"429",2021-02-19,0.0554
"430",2021-02-22,0.0785
"431",2021-02-23,0.0773
"432",2021-02-24,0.0842
"433",2021-02-25,0.0536
"434",2021-02-26,0.063
"435",2021-03-01,0.0556
"436",2021-03-02,0.06
"437",2021-03-03,0.0633
"438",2021-03-04,0.0436
"439",2021-03-05,0.0385
"440",2021-03-08,0.0486
"441",2021-03-09,0.0735999999999999
"442",2021-03-10,0.0809
"443",2021-03-11,0.0762
"444",2021-03-12,0.0831
"445",2021-03-15,0.0746999999999999
"446",2021-03-16,0.0998
"447",2021-03-17,0.0809
"448",2021-03-18,0.0602
"449",2021-03-19,0.043
"450",2021-03-22,0.0827
"451",2021-03-23,0.0947000000000001
"452",2021-03-24,0.1206
"453",2021-03-25,0.1144
"454",2021-03-26,0.1122
"455",2021-03-29,0.1054
"456",2021-03-30,0.1274
"457",2021-03-31,0.1336
"458",2021-04-01,0.1468
"459",2021-04-05,0.1529
"460",2021-04-06,0.1512
"461",2021-04-07,0.1733
"462",2021-04-08,0.1959
"463",2021-04-09,0.1995
"464",2021-04-12,0.236
"465",2021-04-13,0.2326
"466",2021-04-14,0.2393
"467",2021-04-15,0.2294
"468",2021-04-16,0.2221
"469",2021-04-19,0.1983
"470",2021-04-20,0.2306
"471",2021-04-21,0.2259
"472",2021-04-22,0.2292
"473",2021-04-23,0.2164
"474",2021-04-26,0.2262
"475",2021-04-27,0.195
"476",2021-04-28,0.2144
"477",2021-04-29,0.2097
"478",2021-04-30,0.1958
"479",2021-05-03,0.1752
"480",2021-05-04,0.1932
"481",2021-05-05,0.1954
"482",2021-05-06,0.1903
"483",2021-05-07,0.1811
"484",2021-05-10,0.1798
"485",2021-05-11,0.1766
"486",2021-05-12,0.1773
"487",2021-05-13,0.1498
"488",2021-05-14,0.1446
"489",2021-05-17,0.1297
"490",2021-05-18,0.1593
"491",2021-05-19,0.1929
"492",2021-05-20,0.1979
"493",2021-05-21,0.1498
"494",2021-05-24,0.1643
"495",2021-05-25,0.1419
"496",2021-05-26,0.1399
"497",2021-05-27,0.1292
"498",2021-05-28,0.1213
"499",2021-06-01,0.0852
"500",2021-06-02,0.1219
"501",2021-06-03,0.1348
"502",2021-06-04,0.1378
"503",2021-06-07,0.1271
"504",2021-06-08,0.1108
"505",2021-06-09,0.1014
"506",2021-06-10,0.12
"507",2021-06-11,0.1032
"508",2021-06-14,0.101
"509",2021-06-15,0.0783
"510",2021-06-16,0.0837
"511",2021-06-17,0.0658
"512",2021-06-18,0.086
"513",2021-06-21,0.0849
"514",2021-06-22,0.0836
"515",2021-06-23,0.0665
"516",2021-06-24,0.0907000000000001
"517",2021-06-25,0.0646999999999999
"518",2021-06-28,0.1076
"519",2021-06-29,0.0887
"520",2021-06-30,0.12
"521",2021-07-01,0.1298
"522",2021-07-02,0.1399
"523",2021-07-06,0.148
"524",2021-07-07,0.1383
"525",2021-07-08,0.1445
"526",2021-07-09,0.1412
"527",2021-07-12,0.1574
"528",2021-07-13,0.1881
"529",2021-07-14,0.1714
"530",2021-07-15,0.1789
"531",2021-07-16,0.1698
"532",2021-07-19,0.2113
"533",2021-07-20,0.2029
"534",2021-07-21,0.1955
"535",2021-07-22,0.205
"536",2021-07-23,0.2288
"537",2021-07-26,0.2473
"538",2021-07-27,0.3353
"539",2021-07-28,0.3407
"540",2021-07-29,0.3695
"541",2021-07-30,0.3989
"542",2021-08-02,0.3968
"543",2021-08-03,0.4107
"544",2021-08-04,0.4648
"545",2021-08-05,0.4911
"546",2021-08-06,0.5489
"547",2021-08-09,0.5759
"548",2021-08-10,0.6153
"549",2021-08-11,0.6475
"550",2021-08-12,0.6531
"551",2021-08-13,0.6487
"552",2021-08-16,0.6445
"553",2021-08-17,0.5726
"554",2021-08-18,0.5354
"555",2021-08-19,0.4942
"556",2021-08-20,0.5168
"557",2021-08-23,0.5211
"558",2021-08-24,0.5168
"559",2021-08-25,0.4446
"560",2021-08-26,0.4631
"561",2021-08-27,0.4608
"562",2021-08-30,0.4032
"563",2021-08-31,0.4194
"564",2021-09-01,0.4045
"565",2021-09-02,0.3814
"566",2021-09-03,0.3673
"567",2021-09-07,0.3495
"568",2021-09-08,0.3572
"569",2021-09-09,0.3638
"570",2021-09-10,0.3477
"571",2021-09-13,0.3482
"572",2021-09-14,0.3267
"573",2021-09-15,0.3287
"574",2021-09-16,0.3376
"575",2021-09-17,0.316
"576",2021-09-20,0.2879
"577",2021-09-21,0.2919
"578",2021-09-22,0.2961
"579",2021-09-23,0.2724
"580",2021-09-24,0.3052
"581",2021-09-27,0.3016
"582",2021-09-28,0.3232
"583",2021-09-29,0.3331
"584",2021-09-30,0.2999
"585",2021-10-01,0.2801
"586",2021-10-04,0.2703
"587",2021-10-05,0.2696
"588",2021-10-06,0.3074
"589",2021-10-07,0.2961
"590",2021-10-08,0.2791
"591",2021-10-11,0.268
"592",2021-10-12,0.2876
"593",2021-10-13,0.3122
"594",2021-10-14,0.3092
"595",2021-10-15,0.3199
"596",2021-10-18,0.3195
"597",2021-10-19,0.323
"598",2021-10-20,0.3497
"599",2021-10-21,0.3478
"600",2021-10-22,0.3342
"601",2021-10-25,0.3118
"602",2021-10-26,0.3077
"603",2021-10-27,0.2947
"604",2021-10-28,0.2976
"605",2021-10-29,0.2902
"606",2021-11-01,0.281
"607",2021-11-02,0.2908
"608",2021-11-03,0.336
"609",2021-11-04,0.333
"610",2021-11-05,0.3179
"611",2021-11-08,0.3146
"612",2021-11-09,0.312
"613",2021-11-10,0.3225
"614",2021-11-11,0.3129
"615",2021-11-12,0.3095
"616",2021-11-15,0.3459
"617",2021-11-16,0.3232
"618",2021-11-17,0.3117
"619",2021-11-18,0.2997
"620",2021-11-19,0.2925
"621",2021-11-22,0.3216
"622",2021-11-23,0.3186
"623",2021-11-24,0.321
"624",2021-11-26,0.3032
"625",2021-11-29,0.2908
"626",2021-11-30,0.3033
"627",2021-12-01,0.2906
"628",2021-12-02,0.3419
"629",2021-12-03,0.3391
"630",2021-12-06,0.351
"631",2021-12-07,0.3263
"632",2021-12-08,0.3037
"633",2021-12-09,0.309
"634",2021-12-10,0.3153
"635",2021-12-13,0.2956
"636",2021-12-14,0.2782
"637",2021-12-15,0.2819
"638",2021-12-16,0.2907
"639",2021-12-17,0.2859
"640",2021-12-20,0.3193
"641",2021-12-21,0.3125
"642",2021-12-22,0.302
"643",2021-12-23,0.304
"644",2021-12-27,0.3065
"645",2021-12-28,0.2967
"646",2021-12-29,0.2887
"647",2021-12-30,0.3241
"648",2021-12-31,0.3456
"649",2022-01-03,0.3144
"650",2022-01-04,0.3127
"651",2022-01-05,0.2965
"652",2022-01-06,0.3111
"653",2022-01-07,0.3183
"654",2022-01-10,0.3129
"655",2022-01-11,0.2908
"656",2022-01-12,0.2706
"657",2022-01-13,0.2623
"658",2022-01-14,0.2974
"659",2022-01-18,0.3149
"660",2022-01-19,0.3314
"661",2022-01-20,0.3252
"662",2022-01-21,0.3029
"663",2022-01-24,0.2853
"664",2022-01-25,0.2758
"665",2022-01-26,0.2484
"666",2022-01-27,0.2148
"667",2022-01-28,0.2024
"668",2022-01-31,0.2254
"669",2022-02-01,0.2224
"670",2022-02-02,0.2285
"671",2022-02-03,0.2154
"672",2022-02-04,0.2275
"673",2022-02-07,0.2416
"674",2022-02-08,0.2166
"675",2022-02-09,0.19
"676",2022-02-10,0.2109
"677",2022-02-11,0.2121
"678",2022-02-14,0.2227
"679",2022-02-15,0.2052
"680",2022-02-16,0.1728
"681",2022-02-17,0.1851
"682",2022-02-18,0.1759
"683",2022-02-22,0.1778
"684",2022-02-23,0.1724
"685",2022-02-24,0.1601
"686",2022-02-25,0.1873
"687",2022-02-28,0.1835
"688",2022-03-01,0.2225
"689",2022-03-02,0.2179
"690",2022-03-03,0.2088
"691",2022-03-04,0.1952
"692",2022-03-07,0.2094
"693",2022-03-08,0.2076
"694",2022-03-09,0.1939
"695",2022-03-10,0.185
"696",2022-03-11,0.1652
"697",2022-03-14,0.1576
"698",2022-03-15,0.1976
"699",2022-03-16,0.2261
"700",2022-03-17,0.2567
"701",2022-03-18,0.2428
"702",2022-03-21,0.2182
"703",2022-03-22,0.2381
"704",2022-03-23,0.219
"705",2022-03-24,0.2239
"706",2022-03-25,0.2366
"707",2022-03-28,0.2398
"708",2022-03-29,0.2591
"709",2022-03-30,0.2489
"710",2022-03-31,0.2378
"711",2022-04-01,0.2209
"712",2022-04-04,0.2503
"713",2022-04-05,0.2493
"714",2022-04-06,0.2474
"715",2022-04-07,0.2196
"716",2022-04-08,0.2105
"717",2022-04-11,0.2268
"718",2022-04-12,0.2538
"719",2022-04-13,0.2409
"720",2022-04-14,0.235
"721",2022-04-18,0.2175
"722",2022-04-19,0.2108
"723",2022-04-20,0.2125
"724",2022-04-21,0.2493
"725",2022-04-22,0.2875
"726",2022-04-25,0.2813
"727",2022-04-26,0.2734
"728",2022-04-27,0.2958
"729",2022-04-28,0.2875
"730",2022-04-29,0.2681
"731",2022-05-02,0.264
"732",2022-05-03,0.2561
"733",2022-05-04,0.277
"734",2022-05-05,0.2694
"735",2022-05-06,0.2784
"736",2022-05-09,0.3204
"737",2022-05-10,0.3135
"738",2022-05-11,0.3246
"739",2022-05-12,0.3091
"740",2022-05-13,0.3132
"741",2022-05-16,0.3181
"742",2022-05-17,0.3503
"743",2022-05-18,0.3382
"744",2022-05-19,0.3198
"745",2022-05-20,0.2991
"746",2022-05-23,0.2897
"747",2022-05-24,0.2855
"748",2022-05-25,0.3375
"749",2022-05-26,0.3493
"750",2022-05-27,0.3474
"751",2022-05-31,0.3534
"752",2022-06-01,0.3356
"753",2022-06-02,0.3255
"754",2022-06-03,0.3079
"755",2022-06-06,0.3012
"756",2022-06-07,0.3056
"757",2022-06-08,0.2712
"758",2022-06-09,0.2797
"759",2022-06-10,0.2756
"760",2022-06-13,0.3016
"761",2022-06-14,0.2974
"762",2022-06-15,0.2789
"763",2022-06-16,0.2677
"764",2022-06-17,0.2488
"765",2022-06-21,0.2324
"766",2022-06-22,0.2476
"767",2022-06-23,0.2476
"768",2022-06-24,0.2728
"769",2022-06-27,0.2612
"770",2022-06-28,0.2493
"771",2022-06-29,0.2073
"772",2022-06-30,0.2342
"773",2022-07-01,0.2466
"774",2022-07-05,0.2298
"775",2022-07-06,0.2264
"776",2022-07-07,0.2191
"777",2022-07-08,0.2256
"778",2022-07-11,0.2409
"779",2022-07-12,0.2369
"780",2022-07-13,0.2509
"781",2022-07-14,0.2321
"782",2022-07-15,0.2168
"783",2022-07-18,0.2127
"784",2022-07-19,0.2406
"785",2022-07-20,0.2384
"786",2022-07-21,0.2291
"787",2022-07-22,0.2132
"788",2022-07-25,0.228
"789",2022-07-26,0.2308
"790",2022-07-27,0.2536
"791",2022-07-28,0.2631
"792",2022-07-29,0.2571
"793",2022-08-01,0.2363
"794",2022-08-02,0.2171
"795",2022-08-03,0.194
"796",2022-08-04,0.2188
"797",2022-08-05,0.2338
"798",2022-08-08,0.2625
"799",2022-08-09,0.2466
"800",2022-08-10,0.2436
"801",2022-08-11,0.246
"802",2022-08-12,0.2659
"803",2022-08-15,0.2854
"804",2022-08-16,0.2869
"805",2022-08-17,0.2763
"806",2022-08-18,0.2585
"807",2022-08-19,0.2365
"808",2022-08-22,0.2891
"809",2022-08-23,0.2857
"810",2022-08-24,0.284
"811",2022-08-25,0.2939
"812",2022-08-26,0.3037
"813",2022-08-29,0.3173
"814",2022-08-30,0.3161
"815",2022-08-31,0.329
"816",2022-09-01,0.355
"817",2022-09-02,0.3506
"818",2022-09-06,0.3435
"819",2022-09-07,0.3292
"820",2022-09-08,0.3712
"821",2022-09-09,0.3836
"822",2022-09-12,0.374
"823",2022-09-13,0.3591
"824",2022-09-14,0.3562
"825",2022-09-15,0.3521
"826",2022-09-16,0.3599
"827",2022-09-19,0.3292
"828",2022-09-20,0.3165
"829",2022-09-21,0.3193
"830",2022-09-22,0.3299
"831",2022-09-23,0.3086
"832",2022-09-26,0.3399
"833",2022-09-27,0.3296
"834",2022-09-28,0.3152
"835",2022-09-29,0.3162
"836",2022-09-30,0.3111
"837",2022-10-03,0.3003
"838",2022-10-04,0.3123
"839",2022-10-05,0.3159
"840",2022-10-06,0.329
"841",2022-10-07,0.2911
"842",2022-10-10,0.2761
"843",2022-10-11,0.2596
"844",2022-10-12,0.2339
"845",2022-10-13,0.1929
"846",2022-10-14,0.1565
"847",2022-10-17,0.104
"848",2022-10-18,0.0944
"849",2022-10-19,0.0952
"850",2022-10-20,0.0718
"851",2022-10-21,0.0604
"852",2022-10-24,0.0578
"853",2022-10-25,0.0492
"854",2022-10-26,0.0474
"855",2022-10-27,0.0431
"856",2022-10-28,0.0477
"857",2022-10-31,0.0484999999999999
"858",2022-11-01,0.056
"859",2022-11-02,0.0670000000000001
"860",2022-11-03,0.0566
"861",2022-11-04,0.0574000000000001
"862",2022-11-07,0.0587
"863",2022-11-08,0.0753
"864",2022-11-09,0.0734
"865",2022-11-10,0.083
"866",2022-11-11,0.1097
"867",2022-11-14,0.1292
