"","date","FANG"
"714",2022-04-06,0.1361
"715",2022-04-07,0.1471
"716",2022-04-08,0.1345
"717",2022-04-11,0.1449
"718",2022-04-12,0.1593
"719",2022-04-13,0.1105
"720",2022-04-14,0.1187
"721",2022-04-18,0.1279
"722",2022-04-19,0.1332
"723",2022-04-20,0.1232
"724",2022-04-21,0.126
"725",2022-04-22,0.1241
"726",2022-04-25,0.1135
"727",2022-04-26,0.0936999999999999
"728",2022-04-27,0.0993000000000001
"729",2022-04-28,0.1056
"730",2022-04-29,0.1131
"731",2022-05-02,0.082
"732",2022-05-03,0.0601
"733",2022-05-04,0.0562
"734",2022-05-05,0.0496
"735",2022-05-06,0.0372
"736",2022-05-09,0.0314
"737",2022-05-10,0.0337
"738",2022-05-11,0.0492
"739",2022-05-12,0.0628
"740",2022-05-13,0.0658
"741",2022-05-16,0.07
"742",2022-05-17,0.0564
"743",2022-05-18,0.0418000000000001
"744",2022-05-19,0.0362
"745",2022-05-20,0.0375
"746",2022-05-23,0.0158
"747",2022-05-24,0.0125
"748",2022-05-25,0.0137
"749",2022-05-26,0.0162
"750",2022-05-27,0.0292
"751",2022-05-31,0.0357
"752",2022-06-01,0.0442
"753",2022-06-02,0.0549000000000001
"754",2022-06-03,0.0587
"755",2022-06-06,0.0596
"756",2022-06-07,0.0611
"757",2022-06-08,0.0538
"758",2022-06-09,0.0471
"759",2022-06-10,0.0453
"760",2022-06-13,0.0487
"761",2022-06-14,0.0339999999999999
"762",2022-06-15,0.0537
"763",2022-06-16,0.0523000000000001
"764",2022-06-17,0.0519
"765",2022-06-21,0.0523
"766",2022-06-22,0.0636
"767",2022-06-23,0.0778
"768",2022-06-24,0.0674999999999999
"769",2022-06-27,0.0835
"770",2022-06-28,0.0714
"771",2022-06-29,0.0521
"772",2022-06-30,0.0553
"773",2022-07-01,0.0667
"774",2022-07-05,0.0612
"775",2022-07-06,0.0531
"776",2022-07-07,0.0543
"777",2022-07-08,0.0427
"778",2022-07-11,0.0498
"779",2022-07-12,0.0372
"780",2022-07-13,0.0466
"781",2022-07-14,0.0518
"782",2022-07-15,0.0518
"783",2022-07-18,0.0356
"784",2022-07-19,0.0273
"785",2022-07-20,0.0182
"786",2022-07-21,0.0174
"787",2022-07-22,0.00900000000000001
"788",2022-07-25,0.0189
"789",2022-07-26,0.023
"790",2022-07-27,0.0181
"791",2022-07-28,0.0173
"792",2022-07-29,0.0157
"793",2022-08-01,0.024
"794",2022-08-02,0.0199
"795",2022-08-03,0.0253
"796",2022-08-04,0.0397
"797",2022-08-05,0.0506
"798",2022-08-08,0.0585000000000001
"799",2022-08-09,0.0548
"800",2022-08-10,0.0506
"801",2022-08-11,0.0517
"802",2022-08-12,0.0462
"803",2022-08-15,0.0559000000000001
"804",2022-08-16,0.0484
"805",2022-08-17,0.0532
"806",2022-08-18,0.0539
"807",2022-08-19,0.0606
"808",2022-08-22,0.0488
"809",2022-08-23,0.0363000000000001
"810",2022-08-24,0.032
"811",2022-08-25,0.0311
"812",2022-08-26,0.0238
"813",2022-08-29,0.0288
"814",2022-08-30,0.025
"815",2022-08-31,0.0232
"816",2022-09-01,0.0142
"817",2022-09-02,0.0125000000000001
"818",2022-09-06,0.0169
"819",2022-09-07,0.0161
"820",2022-09-08,0.0232
"821",2022-09-09,0.0214
"822",2022-09-12,0.0187
"823",2022-09-13,0.0115999999999999
"824",2022-09-14,0.0153
"825",2022-09-15,0.0195
"826",2022-09-16,0.02
"827",2022-09-19,0.0225
"828",2022-09-20,0.0213
"829",2022-09-21,0.0272
"830",2022-09-22,0.0326
"831",2022-09-23,0.0263
"832",2022-09-26,0.0268
"833",2022-09-27,0.0212
"834",2022-09-28,0.0338000000000001
"835",2022-09-29,0.0387000000000001
"836",2022-09-30,0.0365
"837",2022-10-03,0.0344
"838",2022-10-04,0.0479000000000001
"839",2022-10-05,0.0507
"840",2022-10-06,0.0487000000000001
"841",2022-10-07,0.0444
"842",2022-10-10,0.0463
"843",2022-10-11,0.0434
"844",2022-10-12,0.0449999999999999
"845",2022-10-13,0.0399999999999999
"846",2022-10-14,0.0423
"847",2022-10-17,0.0451
"848",2022-10-18,0.0501
"849",2022-10-19,0.0485
"850",2022-10-20,0.0475
"851",2022-10-21,0.0438
"852",2022-10-24,0.0359
"853",2022-10-25,0.0389
"854",2022-10-26,0.0392000000000001
"855",2022-10-27,0.0315
"856",2022-10-28,0.0351
"857",2022-10-31,0.0462
"858",2022-11-01,0.0699
"859",2022-11-02,0.0614000000000001
"860",2022-11-03,0.0684999999999999
"861",2022-11-04,0.0679
"862",2022-11-07,0.0686
"863",2022-11-08,0.0617
"864",2022-11-09,0.0433
"865",2022-11-10,0.0402
"866",2022-11-11,0.0254
"867",2022-11-14,0.0113
"868",2022-11-15,0.0197000000000001
"869",2022-11-16,0.0185
"870",2022-11-17,0.0176000000000001
"871",2022-11-18,0.0188
"872",2022-11-21,0.0171
"873",2022-11-22,0.0162000000000001
"874",2022-11-23,0.0192
"875",2022-11-25,0.0282
"876",2022-11-28,0.0249
"877",2022-11-29,0.0166999999999999
"878",2022-11-30,0.0196
"879",2022-12-01,0.0218999999999999
"880",2022-12-02,0.0188
"881",2022-12-05,0.0213
"882",2022-12-06,0.0164000000000001
"883",2022-12-07,0.0111
"884",2022-12-08,0.0256999999999999
"885",2022-12-09,0.0491
"886",2022-12-12,0.0692
"887",2022-12-13,0.0682
"888",2022-12-14,0.0626000000000001
"889",2022-12-15,0.0579000000000001
"890",2022-12-16,0.0658000000000001
"891",2022-12-19,0.0498
"892",2022-12-20,0.0513
"893",2022-12-21,0.0629999999999999
"894",2022-12-22,0.0599000000000001
"895",2022-12-23,0.0644
"896",2022-12-27,0.0639
"897",2022-12-28,0.0727
"898",2022-12-29,0.0959
"899",2022-12-30,0.0969
"900",2023-01-03,0.105
"901",2023-01-04,0.1025
"902",2023-01-05,0.0954
"903",2023-01-06,0.0896
"904",2023-01-09,0.0901
"905",2023-01-10,0.0897
"906",2023-01-11,0.1016
"907",2023-01-12,0.1029
"908",2023-01-13,0.112
"909",2023-01-17,0.1109
"910",2023-01-18,0.1155
"911",2023-01-19,0.1109
"912",2023-01-20,0.1079
"913",2023-01-23,0.1247
"914",2023-01-24,0.1183
"915",2023-01-25,0.1093
"916",2023-01-26,0.116
"917",2023-01-27,0.1149
"918",2023-01-30,0.0882999999999999
"919",2023-01-31,0.0811999999999999
"920",2023-02-01,0.0870000000000001
