date,FANG,INTU,FTNT,ETN,AMD,IDXX,META,CDNS,MPWR,FCX,NEM,PANW,LLY,OXY
2022-10-13,0.2106,0.2007,0.2867,0.2303,0.1744,0.2613,0.2294,0.2961,0.2673,0.137,0.2053,0.3357,0.2317,0.23
2022-10-14,0.2089,0.2032,0.2852,0.2331,0.1728,0.2583,0.229,0.2901,0.2655,0.1394,0.1996,0.3359,0.2275,0.226
2022-10-17,0.1986,0.2025,0.2841,0.2277,0.1755,0.2609,0.2278,0.2935,0.269,0.1364,0.1949,0.3408,0.2307,0.2091
2022-10-18,0.1822,0.2039,0.2803,0.2303,0.1796,0.2662,0.2171,0.2925,0.2643,0.134,0.198,0.334,0.2279,0.1828
2022-10-19,0.2011,0.2029,0.2874,0.2377,0.176,0.2745,0.2154,0.2876,0.2659,0.1422,0.191,0.3356,0.2277,0.2094
2022-10-20,0.2028,0.2051,0.286,0.2336,0.1734,0.2851,0.2093,0.2923,0.2617,0.1421,0.1817,0.3217,0.2311,0.2057
2022-10-21,0.2163,0.2081,0.2846,0.2394,0.1777,0.2825,0.2188,0.2877,0.2635,0.1423,0.178,0.3155,0.2257,0.2186
2022-10-24,0.2032,0.2136,0.2841,0.245,0.1837,0.2809,0.2173,0.2897,0.2657,0.1423,0.1774,0.3082,0.228,0.2105
2022-10-25,0.2005,0.2078,0.2803,0.2317,0.1818,0.2686,0.2274,0.2918,0.2671,0.1301,0.1853,0.3055,0.2279,0.2196
2022-10-26,0.1938,0.2031,0.2741,0.2214,0.182,0.2588,0.2213,0.2886,0.2672,0.1233,0.1775,0.306,0.2254,0.2168
2022-10-27,0.1983,0.1915,0.2725,0.2113,0.1854,0.2492,0.2269,0.2849,0.26,0.118,0.1738,0.3131,0.2119,0.2268
2022-10-28,0.1984,0.1941,0.2756,0.215,0.188,0.2471,0.2377,0.2836,0.2567,0.1238,0.1674,0.3118,0.2043,0.2293
2022-10-31,0.1962,0.1913,0.2786,0.2088,0.1933,0.2429,0.2516,0.2794,0.2574,0.1211,0.1657,0.3232,0.1988,0.2294
2022-11-01,0.1916,0.1923,0.2735,0.2091,0.1968,0.2399,0.2506,0.2762,0.2604,0.1206,0.163,0.3207,0.192,0.2221
2022-11-02,0.1922,0.186,0.271,0.1957,0.1958,0.2334,0.2528,0.276,0.2625,0.115,0.1609,0.3216,0.1846,0.2181
2022-11-03,0.1863,0.2001,0.277,0.2019,0.2001,0.2366,0.2524,0.2834,0.2694,0.1263,0.1692,0.3212,0.1814,0.2029
2022-11-04,0.1893,0.2018,0.2807,0.2081,0.2007,0.2414,0.2538,0.2827,0.2727,0.1273,0.1613,0.3284,0.184,0.2049
2022-11-07,0.1952,0.2071,0.2827,0.2201,0.2067,0.2503,0.255,0.292,0.2718,0.1308,0.1566,0.3266,0.187,0.2078
2022-11-08,0.1989,0.2074,0.2854,0.2088,0.2118,0.2525,0.2618,0.2959,0.27,0.1233,0.156,0.3248,0.1917,0.2141
2022-11-09,0.2063,0.2127,0.2826,0.2154,0.211,0.2605,0.2649,0.3059,0.2738,0.1271,0.1491,0.3299,0.1977,0.2231
2022-11-10,0.2079,0.2062,0.2823,0.2169,0.2075,0.2597,0.2769,0.2999,0.2697,0.1209,0.1431,0.3323,0.1934,0.2235
2022-11-11,0.2113,0.2139,0.2887,0.2251,0.2126,0.2545,0.2789,0.2997,0.2659,0.125,0.1419,0.3304,0.195,0.2298
2022-11-14,0.2058,0.2053,0.2966,0.2218,0.2169,0.251,0.2838,0.2984,0.2643,0.1189,0.1459,0.3232,0.2041,0.2246
2022-11-15,0.1933,0.214,0.2923,0.2225,0.2204,0.2478,0.284,0.2958,0.26,0.1097,0.1391,0.3134,0.2004,0.2085
2022-11-16,0.2002,0.2106,0.2903,0.2219,0.2189,0.2464,0.2885,0.2921,0.2598,0.1136,0.1302,0.3185,0.1949,0.2197
2022-11-17,0.2034,0.2083,0.2909,0.2247,0.219,0.2514,0.2793,0.2952,0.2575,0.115,0.1241,0.3188,0.1936,0.226
2022-11-18,0.1981,0.2051,0.2849,0.2227,0.2145,0.253,0.289,0.2909,0.2584,0.1131,0.1158,0.3234,0.1959,0.2217
