date,NEM,ABEV3,FTNT,ENGI11,IDXX,LREN3,OXY,INTU,LLY,PANW,TOTS3,FCX,FANG,META,ALPA4,MPWR,ETN,AMD,CDNS
2021-11-11,0.1499,0.2753,0.1833,0.2715,0.2535,0.1788,0.0462,0.3129,0.3187,0.365,0.1727,0.1875,0.134,0.1554,0.2925,0.3055,0.1363,0.0578,0.2137
2021-11-12,0.1482,0.2926,0.1758,0.2703,0.2468,0.1525,0.038,0.3095,0.2982,0.3831,0.2085,0.1657,0.1317,0.1461,0.2904,0.291,0.1288,0.0545,0.2063
2021-11-16,0.1388,0.2897,0.1832,0.2728,0.2455,0.1542,0.0432,0.3232,0.1692,0.3489,0.2074,0.1718,0.1422,0.1421,0.2518,0.2693,0.1359,0.0572,0.2025
2021-11-17,0.1718,0.3081,0.2003,0.2649,0.2566,0.1571,0.0614,0.3117,0.1795,0.3711,0.1875,0.1866,0.1454,0.1174,0.2617,0.2755,0.127,0.0450999999999999,0.2153
2021-11-18,0.1347,0.3091,0.2008,0.2632,0.2491,0.1803,0.0609999999999999,0.2997,0.1767,0.3972,0.2116,0.182,0.1409,0.1413,0.253,0.2588,0.1115,0.0373,0.2084
2021-11-19,0.1668,0.3172,0.1935,0.2586,0.2527,0.1541,0.0715000000000001,0.2925,0.1913,0.3408,0.2302,0.1769,0.1459,0.1392,0.2514,0.2785,0.1127,0.0502999999999999,0.2473
2021-11-22,0.1458,0.3066,0.2052,0.2643,0.2604,0.1341,0.0753,0.3216,0.1832,0.3303,0.2133,0.1674,0.1459,0.1351,0.2328,0.2858,0.1064,0.0629000000000001,0.2365
2021-11-23,0.1375,0.3117,0.215,0.2597,0.2626,0.1282,0.0831,0.3186,0.1981,0.3468,0.1941,0.175,0.1627,0.1516,0.2412,0.2777,0.1219,0.0602,0.257
2021-11-24,0.1439,0.3234,0.2081,0.2537,0.2475,0.144,0.1004,0.321,0.1903,0.3367,0.1975,0.1522,0.1497,0.1228,0.2422,0.278,0.0978000000000001,0.0566,0.2507
2021-11-26,0.1433,0.3029,0.2049,0.262,0.2741,0.1685,0.0929,0.3032,0.1988,0.3396,0.1965,0.1609,0.1734,0.1131,0.2407,0.2867,0.0887999999999999,0.044,0.2363
2021-11-29,0.1358,0.3145,0.1944,0.2643,0.2861,0.1771,0.0863,0.2908,0.1905,0.3477,0.1952,0.1287,0.1918,0.1001,0.2548,0.2864,0.0782,0.0439000000000001,0.2327
2021-11-30,0.1357,0.3349,0.2063,0.2784,0.2769,0.1855,0.0886,0.3033,0.1853,0.3122,0.192,0.135,0.1943,0.1044,0.2611,0.2877,0.0837,0.0457,0.2298
2021-12-01,0.1462,0.3364,0.2111,0.257,0.2579,0.1951,0.1117,0.2906,0.2177,0.2937,0.1978,0.1041,0.1891,0.1043,0.2787,0.2746,0.0748,0.0433,0.218
2021-12-02,0.1769,0.3138,0.2258,0.2534,0.2309,0.1977,0.1107,0.3419,0.2259,0.2903,0.2271,0.1082,0.1846,0.0925,0.2859,0.272,0.0778,0.0407000000000001,0.2278
2021-12-03,0.1451,0.3162,0.2231,0.2707,0.2338,0.2013,0.1266,0.3391,0.2264,0.2878,0.2141,0.0897,0.1853,0.0923,0.3044,0.2662,0.0777,0.0377000000000001,0.2142
2021-12-06,0.1422,0.3291,0.222,0.2736,0.2578,0.1893,0.1275,0.351,0.2261,0.2971,0.2185,0.116,0.2107,0.0982,0.2873,0.2707,0.0792999999999999,0.0458,0.2429
2021-12-07,0.1358,0.37,0.2247,0.2654,0.2497,0.1922,0.1195,0.3263,0.2425,0.2691,0.2014,0.0912,0.1924,0.1105,0.2769,0.2729,0.0631,0.0436000000000001,0.2182
2021-12-08,0.1609,0.3532,0.2204,0.2531,0.2345,0.2027,0.1283,0.3037,0.2399,0.2878,0.1703,0.0841,0.1998,0.1141,0.2428,0.2722,0.0891,0.0545,0.2361
2021-12-09,0.1628,0.322,0.2131,0.2504,0.2315,0.2009,0.1387,0.309,0.2449,0.3083,0.1582,0.0947,0.183,0.1241,0.2858,0.2729,0.0726000000000001,0.0479000000000001,0.2334
2021-12-10,0.1553,0.278,0.213,0.2558,0.2479,0.2001,0.1344,0.3153,0.2548,0.32,0.1794,0.1128,0.1877,0.0992,0.2707,0.2723,0.0788,0.055,0.2536
2021-12-13,0.1538,0.2796,0.1998,0.2612,0.2498,0.2061,0.1372,0.2956,0.2333,0.3333,0.2094,0.0919,0.1743,0.0983,0.294,0.2679,0.08,0.0572,0.2471
