date,XRP,BNB,BTC,DOGE,ADA,ETH,TRX,LTC
2020-07-31,0.3532,0.3499,0.4538,0.2781,0.0984999999999999,0.2303,0.2799,0.2096
2020-08-01,0.368,0.3581,0.4573,0.2919,0.0972,0.2284,0.2676,0.2098
2020-08-02,0.3465,0.3249,0.4202,0.2803,0.0886,0.2025,0.2578,0.1894
2020-08-03,0.3366,0.3382,0.429,0.2951,0.0962,0.2194,0.2597,0.2031
2020-08-04,0.3415,0.3396,0.4586,0.3146,0.0969,0.237,0.2686,0.2091
2020-08-05,0.3529,0.3528,0.4582,0.3159,0.0954,0.2335,0.2732,0.2127
2020-08-06,0.3433,0.3407,0.4406,0.3317,0.0841,0.2206,0.2623,0.2158
2020-08-07,0.3629,0.3627,0.4583,0.3556,0.0921000000000001,0.2453,0.2653,0.2284
2020-08-08,0.3693,0.3568,0.441,0.3705,0.0880000000000001,0.2303,0.2547,0.2364
2020-08-09,0.3731,0.367,0.4512,0.3827,0.0913999999999999,0.2394,0.2631,0.2406
2020-08-10,0.3708,0.3751,0.4527,0.4126,0.0901000000000001,0.2365,0.2666,0.2455
2020-08-11,0.3802,0.3695,0.4538,0.4442,0.0894,0.2349,0.2658,0.2432
2020-08-12,0.3863,0.3872,0.473,0.4618,0.0981,0.2415,0.277,0.2481
2020-08-13,0.3833,0.3797,0.4675,0.4702,0.0972,0.2347,0.2668,0.2369
2020-08-14,0.3746,0.3654,0.4562,0.4949,0.0991,0.2344,0.2607,0.2259
2020-08-15,0.3855,0.3655,0.4634,0.5224,0.1001,0.2393,0.2649,0.227
2020-08-16,0.3929,0.3643,0.4811,0.536,0.1021,0.2505,0.2614,0.2293
2020-08-17,0.3945,0.3638,0.455,0.5298,0.0930000000000001,0.2295,0.2432,0.229
2020-08-18,0.3882,0.3558,0.4364,0.5103,0.0914,0.2175,0.2278,0.2337
2020-08-19,0.3926,0.3523,0.4394,0.5035,0.0901000000000001,0.2332,0.2397,0.228
2020-08-20,0.3991,0.3619,0.4458,0.5181,0.099,0.2435,0.2495,0.2342
2020-08-21,0.4116,0.3658,0.4545,0.5263,0.1107,0.248,0.2525,0.2398
2020-08-22,0.4062,0.3611,0.4735,0.5242,0.1058,0.2474,0.2585,0.2392
2020-08-23,0.4024,0.3592,0.4702,0.4979,0.0992999999999999,0.2425,0.2477,0.2256
2020-08-24,0.3872,0.3514,0.4759,0.4768,0.0989,0.2286,0.2482,0.2141
2020-08-25,0.4125,0.3546,0.489,0.4908,0.0971,0.2292,0.2506,0.2129
2020-08-26,0.4039,0.3528,0.4829,0.5055,0.0984999999999999,0.2226,0.2455,0.2122
2020-08-27,0.4048,0.3587,0.4843,0.5055,0.0937,0.2206,0.2417,0.2168
2020-08-28,0.4077,0.3466,0.4708,0.5041,0.0837,0.2115,0.2405,0.2169
2020-08-29,0.4367,0.3555,0.4874,0.506,0.1009,0.238,0.2544,0.2232
2020-08-30,0.4481,0.3506,0.4816,0.5075,0.1023,0.233,0.2509,0.2123
2020-08-31,0.4667,0.3346,0.4764,0.5134,0.0946,0.2294,0.2448,0.2072
2020-09-01,0.4737,0.3255,0.4645,0.5216,0.0876,0.218,0.2363,0.204
2020-09-02,0.4841,0.3334,0.4746,0.5159,0.0948,0.226,0.2372,0.2112
2020-09-03,0.4906,0.335,0.4876,0.51,0.0938,0.2338,0.2411,0.2085
2020-09-04,0.493,0.3236,0.4785,0.4704,0.0993000000000001,0.2345,0.2425,0.198
2020-09-05,0.4846,0.3224,0.4892,0.4731,0.1056,0.2405,0.2477,0.2002
2020-09-06,0.4478,0.3279,0.4992,0.4879,0.0962,0.2317,0.2406,0.1976
2020-09-07,0.3934,0.3014,0.4663,0.4847,0.0875,0.2035,0.2295,0.198
2020-09-08,0.3455,0.3096,0.4687,0.5015,0.112,0.2277,0.24,0.2064
2020-09-09,0.348,0.324,0.4874,0.5164,0.1281,0.2534,0.2566,0.2174
2020-09-10,0.356,0.3166,0.4864,0.5235,0.1298,0.2481,0.257,0.2101
2020-09-11,0.3386,0.3127,0.4926,0.5155,0.1258,0.2373,0.2529,0.2007
2020-09-12,0.347,0.312,0.4907,0.5063,0.1249,0.2408,0.2483,0.1977
2020-09-13,0.3411,0.3055,0.4938,0.4991,0.1211,0.2382,0.2515,0.1913
2020-09-14,0.3508,0.3083,0.4867,0.4934,0.1139,0.2347,0.2475,0.1985
2020-09-15,0.3512,0.2896,0.4936,0.4881,0.1145,0.2415,0.2479,0.1995
2020-09-16,0.3616,0.3063,0.5026,0.4906,0.1235,0.2552,0.2565,0.1979
2020-09-17,0.356,0.2957,0.4879,0.4955,0.122,0.2428,0.2525,0.2039
2020-09-18,0.3517,0.2606,0.4773,0.4907,0.1067,0.2289,0.2369,0.1796
2020-09-19,0.3351,0.2326,0.4251,0.49,0.0940000000000001,0.2045,0.2297,0.1703
2020-09-20,0.3461,0.2324,0.4288,0.4993,0.1028,0.2168,0.2321,0.1668
