"","date","LTC"
"592",2021-08-03,0.2852
"593",2021-08-04,0.3082
"594",2021-08-05,0.3192
"595",2021-08-06,0.3156
"596",2021-08-07,0.3097
"597",2021-08-08,0.2945
"598",2021-08-09,0.3001
"599",2021-08-10,0.3015
"600",2021-08-11,0.3077
"601",2021-08-12,0.3119
"602",2021-08-13,0.3173
"603",2021-08-14,0.3324
"604",2021-08-15,0.3252
"605",2021-08-16,0.3334
"606",2021-08-17,0.3352
"607",2021-08-18,0.332
"608",2021-08-19,0.3429
"609",2021-08-20,0.3354
"610",2021-08-21,0.3288
"611",2021-08-22,0.3172
"612",2021-08-23,0.3182
"613",2021-08-24,0.3255
"614",2021-08-25,0.3375
"615",2021-08-26,0.3396
"616",2021-08-27,0.347
"617",2021-08-28,0.3503
"618",2021-08-29,0.3484
"619",2021-08-30,0.3377
"620",2021-08-31,0.3336
"621",2021-09-01,0.3356
"622",2021-09-02,0.3134
"623",2021-09-03,0.3182
"624",2021-09-04,0.3165
"625",2021-09-05,0.2932
"626",2021-09-06,0.285
"627",2021-09-07,0.3005
"628",2021-09-08,0.3156
"629",2021-09-09,0.3221
"630",2021-09-10,0.3182
"631",2021-09-11,0.3136
"632",2021-09-12,0.3201
"633",2021-09-13,0.3101
"634",2021-09-14,0.3142
"635",2021-09-15,0.3047
"636",2021-09-16,0.2981
"637",2021-09-17,0.2833
"638",2021-09-18,0.302
"639",2021-09-19,0.2851
"640",2021-09-20,0.278
"641",2021-09-21,0.2794
"642",2021-09-22,0.2814
"643",2021-09-23,0.2903
"644",2021-09-24,0.2846
"645",2021-09-25,0.2833
"646",2021-09-26,0.2722
"647",2021-09-27,0.2704
"648",2021-09-28,0.2737
"649",2021-09-29,0.2726
"650",2021-09-30,0.2651
"651",2021-10-01,0.2663
"652",2021-10-02,0.2596
"653",2021-10-03,0.2697
"654",2021-10-04,0.2729
"655",2021-10-05,0.2555
"656",2021-10-06,0.2538
"657",2021-10-07,0.249
"658",2021-10-08,0.2458
"659",2021-10-09,0.2429
"660",2021-10-10,0.2508
"661",2021-10-11,0.2438
"662",2021-10-12,0.2544
"663",2021-10-13,0.2575
"664",2021-10-14,0.258
"665",2021-10-15,0.249
"666",2021-10-16,0.2417
"667",2021-10-17,0.2361
"668",2021-10-18,0.2494
"669",2021-10-19,0.2469
