date,BTC,TRX,ADA,LTC,ETH,BNB,XRP,DOGE
2021-09-20,0.255,0.2755,0.1557,0.1828,0.2195,0.0995,0.3286,0.4029
2021-09-21,0.2522,0.2801,0.148,0.1821,0.2177,0.0975,0.3271,0.3984
2021-09-22,0.2458,0.2796,0.1469,0.1872,0.218,0.0991,0.329,0.3937
2021-09-23,0.2515,0.2789,0.1523,0.1907,0.2272,0.1041,0.3342,0.3847
2021-09-24,0.2508,0.283,0.154,0.1952,0.228,0.1043,0.3337,0.3725
2021-09-25,0.2458,0.2775,0.1537,0.1977,0.2258,0.1001,0.344,0.3904
2021-09-26,0.2418,0.2789,0.1602,0.2004,0.2212,0.095,0.34,0.3996
2021-09-27,0.2447,0.2737,0.1505,0.1974,0.2168,0.0985,0.3394,0.3867
2021-09-28,0.2741,0.2877,0.1664,0.2076,0.2365,0.0964,0.34,0.3743
2021-09-29,0.2636,0.2782,0.1682,0.2002,0.2267,0.0990000000000001,0.3441,0.3732
2021-09-30,0.2595,0.269,0.1746,0.194,0.2258,0.0997,0.3303,0.3837
2021-10-01,0.2658,0.2696,0.1703,0.199,0.2313,0.1017,0.3387,0.3896
2021-10-02,0.2484,0.2662,0.165,0.1991,0.2203,0.0973000000000001,0.3362,0.3763
2021-10-03,0.2521,0.2719,0.1666,0.2026,0.2285,0.0969,0.3451,0.3898
2021-10-04,0.2494,0.2746,0.1598,0.204,0.229,0.0944,0.344,0.3942
2021-10-05,0.2414,0.2721,0.1625,0.2016,0.2263,0.0905,0.3429,0.4029
2021-10-06,0.2288,0.2745,0.1555,0.1976,0.2206,0.0879,0.3365,0.3907
2021-10-07,0.2256,0.2735,0.1669,0.1952,0.2189,0.0883,0.3437,0.3857
2021-10-08,0.2102,0.2704,0.1725,0.1914,0.209,0.0848,0.3358,0.3794
2021-10-09,0.2181,0.2734,0.1736,0.1922,0.2185,0.0828,0.336,0.3742
