"","date","CTLT"
"371",2022-02-02,0.1933
"372",2022-02-03,0.1971
"373",2022-02-04,0.2107
"374",2022-02-07,0.2125
"375",2022-02-08,0.2181
"376",2022-02-09,0.2064
"377",2022-02-10,0.1916
"378",2022-02-11,0.2087
"379",2022-02-14,0.2057
"380",2022-02-15,0.1876
"381",2022-02-16,0.1924
"382",2022-02-17,0.1817
"383",2022-02-18,0.1833
"384",2022-02-22,0.2012
"385",2022-02-23,0.2296
"386",2022-02-24,0.2165
"387",2022-02-25,0.1885
"388",2022-02-28,0.1869
"389",2022-03-01,0.1929
"390",2022-03-02,0.1868
"391",2022-03-03,0.1996
"392",2022-03-04,0.2068
"393",2022-03-07,0.2023
"394",2022-03-08,0.1865
"395",2022-03-09,0.1876
"396",2022-03-10,0.2009
"397",2022-03-11,0.2035
"398",2022-03-14,0.1959
"399",2022-03-15,0.2008
"400",2022-03-16,0.1923
"401",2022-03-17,0.2068
"402",2022-03-18,0.1931
"403",2022-03-21,0.1944
"404",2022-03-22,0.1954
"405",2022-03-23,0.1894
"406",2022-03-24,0.1939
"407",2022-03-25,0.2118
"408",2022-03-28,0.2259
"409",2022-03-29,0.2196
"410",2022-03-30,0.202
"411",2022-03-31,0.2132
"412",2022-04-01,0.2223
"413",2022-04-04,0.2132
"414",2022-04-05,0.1991
"415",2022-04-06,0.1651
"416",2022-04-07,0.1378
"417",2022-04-08,0.1287
"418",2022-04-11,0.1121
"419",2022-04-12,0.1194
"420",2022-04-13,0.1218
"421",2022-04-14,0.1581
"422",2022-04-18,0.1529
"423",2022-04-19,0.1449
"424",2022-04-20,0.1585
"425",2022-04-21,0.1753
"426",2022-04-22,0.1769
"427",2022-04-25,0.167
"428",2022-04-26,0.1503
"429",2022-04-27,0.1492
"430",2022-04-28,0.1326
"431",2022-04-29,0.1371
"432",2022-05-02,0.1451
"433",2022-05-03,0.1512
"434",2022-05-04,0.1559
"435",2022-05-05,0.1581
"436",2022-05-06,0.1655
"437",2022-05-09,0.1812
"438",2022-05-10,0.1774
"439",2022-05-11,0.1774
"440",2022-05-12,0.1694
"441",2022-05-13,0.1645
"442",2022-05-16,0.1642
"443",2022-05-17,0.1967
"444",2022-05-18,0.2122
"445",2022-05-19,0.2187
"446",2022-05-20,0.2194
"447",2022-05-23,0.2135
"448",2022-05-24,0.2092
"449",2022-05-25,0.2094
"450",2022-05-26,0.1873
"451",2022-05-27,0.1934
"452",2022-05-31,0.186
"453",2022-06-01,0.1961
"454",2022-06-02,0.1875
"455",2022-06-03,0.1878
"456",2022-06-06,0.1945
"457",2022-06-07,0.2135
"458",2022-06-08,0.2134
"459",2022-06-09,0.203
"460",2022-06-10,0.1842
"461",2022-06-13,0.1903
"462",2022-06-14,0.1698
"463",2022-06-15,0.1625
"464",2022-06-16,0.1656
"465",2022-06-17,0.1385
"466",2022-06-21,0.112
"467",2022-06-22,0.114
"468",2022-06-23,0.1321
"469",2022-06-24,0.1539
"470",2022-06-27,0.1484
"471",2022-06-28,0.1493
"472",2022-06-29,0.124
"473",2022-06-30,0.1296
"474",2022-07-01,0.1338
"475",2022-07-05,0.1423
"476",2022-07-06,0.1428
"477",2022-07-07,0.124
"478",2022-07-08,0.1173
"479",2022-07-11,0.1177
"480",2022-07-12,0.1189
"481",2022-07-13,0.1422
"482",2022-07-14,0.1323
"483",2022-07-15,0.1211
"484",2022-07-18,0.1193
"485",2022-07-19,0.1268
"486",2022-07-20,0.1256
"487",2022-07-21,0.1348
"488",2022-07-22,0.1481
"489",2022-07-25,0.1592
"490",2022-07-26,0.1513
"491",2022-07-27,0.1646
"492",2022-07-28,0.1581
"493",2022-07-29,0.1679
"494",2022-08-01,0.1734
"495",2022-08-02,0.1827
"496",2022-08-03,0.1808
"497",2022-08-04,0.1837
"498",2022-08-05,0.1742
"499",2022-08-08,0.1773
"500",2022-08-09,0.1719
"501",2022-08-10,0.1896
"502",2022-08-11,0.1807
"503",2022-08-12,0.1714
"504",2022-08-15,0.1648
"505",2022-08-16,0.1748
"506",2022-08-17,0.1855
"507",2022-08-18,0.1901
"508",2022-08-19,0.1896
"509",2022-08-22,0.2033
"510",2022-08-23,0.2016
"511",2022-08-24,0.2276
"512",2022-08-25,0.2728
"513",2022-08-26,0.2693
"514",2022-08-29,0.2519
"515",2022-08-30,0.2421
"516",2022-08-31,0.2416
"517",2022-09-01,0.2449
"518",2022-09-02,0.2324
"519",2022-09-06,0.2187
"520",2022-09-07,0.2165
"521",2022-09-08,0.2433
"522",2022-09-09,0.246
"523",2022-09-12,0.2525
"524",2022-09-13,0.253
"525",2022-09-14,0.2393
"526",2022-09-15,0.2152
"527",2022-09-16,0.2159
"528",2022-09-19,0.2048
"529",2022-09-20,0.2176
"530",2022-09-21,0.2188
"531",2022-09-22,0.2241
"532",2022-09-23,0.1985
"533",2022-09-26,0.2017
"534",2022-09-27,0.1963
"535",2022-09-28,0.1863
"536",2022-09-29,0.1626
"537",2022-09-30,0.1218
