"","date","HII"
"428",2022-04-26,0.1582
"429",2022-04-27,0.1538
"430",2022-04-28,0.1502
"431",2022-04-29,0.1471
"432",2022-05-02,0.1286
"433",2022-05-03,0.1258
"434",2022-05-04,0.1242
"435",2022-05-05,0.146
"436",2022-05-06,0.1428
"437",2022-05-09,0.1446
"438",2022-05-10,0.1306
"439",2022-05-11,0.1243
"440",2022-05-12,0.1194
"441",2022-05-13,0.1216
"442",2022-05-16,0.1046
"443",2022-05-17,0.0974
"444",2022-05-18,0.1083
"445",2022-05-19,0.1352
"446",2022-05-20,0.1252
"447",2022-05-23,0.1345
"448",2022-05-24,0.1287
"449",2022-05-25,0.1272
"450",2022-05-26,0.1309
"451",2022-05-27,0.1313
"452",2022-05-31,0.1291
"453",2022-06-01,0.1326
"454",2022-06-02,0.1388
"455",2022-06-03,0.1496
"456",2022-06-06,0.1302
"457",2022-06-07,0.1318
"458",2022-06-08,0.1189
"459",2022-06-09,0.1218
"460",2022-06-10,0.1339
"461",2022-06-13,0.1457
"462",2022-06-14,0.1426
"463",2022-06-15,0.1385
"464",2022-06-16,0.1383
"465",2022-06-17,0.1539
"466",2022-06-21,0.1372
"467",2022-06-22,0.143
"468",2022-06-23,0.1407
"469",2022-06-24,0.1402
"470",2022-06-27,0.1443
"471",2022-06-28,0.1455
"472",2022-06-29,0.1458
"473",2022-06-30,0.1411
"474",2022-07-01,0.1402
"475",2022-07-05,0.1677
"476",2022-07-06,0.1492
"477",2022-07-07,0.1609
"478",2022-07-08,0.152
"479",2022-07-11,0.1529
"480",2022-07-12,0.156
"481",2022-07-13,0.1506
"482",2022-07-14,0.1438
"483",2022-07-15,0.1374
"484",2022-07-18,0.1281
"485",2022-07-19,0.1319
"486",2022-07-20,0.139
"487",2022-07-21,0.1508
"488",2022-07-22,0.1575
"489",2022-07-25,0.1549
"490",2022-07-26,0.1629
"491",2022-07-27,0.1668
"492",2022-07-28,0.1628
"493",2022-07-29,0.1556
"494",2022-08-01,0.1499
"495",2022-08-02,0.1348
"496",2022-08-03,0.1391
"497",2022-08-04,0.1344
"498",2022-08-05,0.118
"499",2022-08-08,0.1144
"500",2022-08-09,0.1261
"501",2022-08-10,0.1381
"502",2022-08-11,0.1287
"503",2022-08-12,0.1255
"504",2022-08-15,0.1276
"505",2022-08-16,0.1422
"506",2022-08-17,0.1381
"507",2022-08-18,0.1293
"508",2022-08-19,0.1378
"509",2022-08-22,0.1398
"510",2022-08-23,0.1543
"511",2022-08-24,0.1593
"512",2022-08-25,0.1395
"513",2022-08-26,0.1574
"514",2022-08-29,0.1685
"515",2022-08-30,0.1714
"516",2022-08-31,0.1774
"517",2022-09-01,0.1865
"518",2022-09-02,0.1944
"519",2022-09-06,0.1965
"520",2022-09-07,0.2105
"521",2022-09-08,0.214
"522",2022-09-09,0.2088
"523",2022-09-12,0.2052
"524",2022-09-13,0.2009
"525",2022-09-14,0.1986
"526",2022-09-15,0.1865
"527",2022-09-16,0.1942
"528",2022-09-19,0.1849
"529",2022-09-20,0.178
"530",2022-09-21,0.1814
"531",2022-09-22,0.1904
"532",2022-09-23,0.1945
