"","date","NCLH"
"507",2022-08-18,0.2171
"508",2022-08-19,0.2016
"509",2022-08-22,0.2107
"510",2022-08-23,0.207
"511",2022-08-24,0.1907
"512",2022-08-25,0.19
"513",2022-08-26,0.1948
"514",2022-08-29,0.2035
"515",2022-08-30,0.1899
"516",2022-08-31,0.21
"517",2022-09-01,0.2097
"518",2022-09-02,0.2196
"519",2022-09-06,0.2125
"520",2022-09-07,0.2082
"521",2022-09-08,0.217
"522",2022-09-09,0.2255
"523",2022-09-12,0.205
"524",2022-09-13,0.1857
"525",2022-09-14,0.2098
"526",2022-09-15,0.2481
"527",2022-09-16,0.2468
"528",2022-09-19,0.2435
"529",2022-09-20,0.2438
"530",2022-09-21,0.2356
"531",2022-09-22,0.2269
"532",2022-09-23,0.2201
"533",2022-09-26,0.2427
"534",2022-09-27,0.2508
"535",2022-09-28,0.2515
"536",2022-09-29,0.2637
"537",2022-09-30,0.2656
"538",2022-10-03,0.2788
"539",2022-10-04,0.2714
"540",2022-10-05,0.2814
"541",2022-10-06,0.2803
"542",2022-10-07,0.2797
"543",2022-10-10,0.2838
"544",2022-10-11,0.2827
"545",2022-10-12,0.2725
"546",2022-10-13,0.278
"547",2022-10-14,0.2619
"548",2022-10-17,0.2563
"549",2022-10-18,0.2827
"550",2022-10-19,0.2881
"551",2022-10-20,0.291
"552",2022-10-21,0.2846
"553",2022-10-24,0.2823
"554",2022-10-25,0.2901
"555",2022-10-26,0.288
"556",2022-10-27,0.3032
"557",2022-10-28,0.2999
"558",2022-10-31,0.3256
"559",2022-11-01,0.3303
"560",2022-11-02,0.3303
"561",2022-11-03,0.3464
"562",2022-11-04,0.347
"563",2022-11-07,0.3426
"564",2022-11-08,0.3393
"565",2022-11-09,0.3378
"566",2022-11-10,0.3424
"567",2022-11-11,0.3187
"568",2022-11-14,0.3079
"569",2022-11-15,0.3187
"570",2022-11-16,0.3227
"571",2022-11-17,0.301
"572",2022-11-18,0.2903
"573",2022-11-21,0.3085
"574",2022-11-22,0.3223
"575",2022-11-23,0.3057
"576",2022-11-25,0.3031
"577",2022-11-28,0.2828
"578",2022-11-29,0.2682
"579",2022-11-30,0.2574
"580",2022-12-01,0.2402
"581",2022-12-02,0.248
"582",2022-12-05,0.2548
"583",2022-12-06,0.2134
"584",2022-12-07,0.182
"585",2022-12-08,0.1722
"586",2022-12-09,0.1789
"587",2022-12-12,0.1324
"588",2022-12-13,0.1044
"589",2022-12-14,0.1231
"590",2022-12-15,0.1312
"591",2022-12-16,0.1448
"592",2022-12-19,0.1419
"593",2022-12-20,0.1276
"594",2022-12-21,0.1489
"595",2022-12-22,0.1263
"596",2022-12-23,0.1399
"597",2022-12-27,0.1603
"598",2022-12-28,0.1727
"599",2022-12-29,0.17
"600",2022-12-30,0.1798
"601",2023-01-03,0.1997
"602",2023-01-04,0.1931
"603",2023-01-05,0.2015
"604",2023-01-06,0.2156
"605",2023-01-09,0.229
"606",2023-01-10,0.2505
"607",2023-01-11,0.2323
"608",2023-01-12,0.2349
"609",2023-01-13,0.2582
"610",2023-01-17,0.253
"611",2023-01-18,0.2505
